GENE,cluster1,cluster2,cluster3,cluster4
GNAS,0.0007785705277890627,0.9992214294722095,0.0,0.0
BLK,0.005899890863314035,0.994100109136685,0.0,0.0
BUB3,0.9999999999999929,8.624932934701602e-15,0.0,0.0
CD40,0.0064572516002005765,0.9935427483998003,0.0,0.0
IRF8,0.018788037950356367,0.9812119620496448,0.0,0.0
PPIE,3.852209574551603e-61,1.1439252846762363e-47,1.0,0.0
PAX5,1.0,4.363658716472721e-36,0.0,0.0
CXCR4,0.9971481441130298,0.0028518558869707793,0.0,0.0
C4orf48,2.1363107962905812e-05,0.9999786368920384,0.0,0.0
WNT10A,1.0,1.715010595037943e-23,0.0,0.0
NTNG2,1.0,3.1815983855848885e-27,0.0,0.0
PRKAG1,0.000937180678521654,0.9990628193214797,0.0,0.0
FOXC1,1.0,4.437811871592471e-17,0.0,0.0
FAM172A,0.0006694353914297684,0.9993305646085695,0.0,0.0
RNF220,1.0,1.884295788905396e-18,0.0,0.0
BCL11A,1.0,1.7700727947234387e-16,0.0,0.0
CDKN2A,1.0,2.9524510860154713e-22,0.0,0.0
IRF4,0.9999842733392855,1.572666071575478e-05,0.0,0.0
COMMD3,4.134341740382605e-05,0.9999586565825963,0.0,0.0
SMUG1,0.999999986783493,1.321650658436847e-08,0.0,0.0
BCL11B,0.9999999999063682,9.363285109295749e-11,0.0,0.0
BCOR,4.684951135124831e-08,0.9999999531504902,0.0,0.0
MAFB,0.0004026246574999667,0.9995973753425014,0.0,0.0
RPF1,0.03732977766985264,0.9626702223301491,0.0,0.0
RBBP7,2.1743694421321865e-26,1.0,0.0,0.0
NFIX,3.720095378742132e-53,8.024720950432058e-42,1.0,0.0
EBF1,0.9999999987155483,1.2844514353372233e-09,0.0,0.0
TSC22D3,1.1684119421692746e-18,1.0,0.0,0.0
ZSCAN9,0.999852380675328,0.00014761932467049983,0.0,0.0
CD300E,0.9999997880590084,2.1194099222852057e-07,0.0,0.0
RIPK3,0.012735883759129783,0.987264116240872,0.0,0.0
HLX,0.9999992599599141,7.400400850334989e-07,0.0,0.0
PDIA6,0.0005645688509762538,0.9994354311490231,0.0,0.0
SKAP1,0.9999999984555075,1.5444941217739174e-09,0.0,0.0
BMI1,4.53563908373691e-06,0.9999954643609152,0.0,0.0
EXOC6,0.0011697536184246064,0.9988302463815758,0.0,0.0
CAMTA1,0.0010067817990820147,0.9989932182009165,0.0,0.0
FLI1,0.9999999999999325,6.804753663767054e-14,0.0,0.0
MT2A,1.8163098275240678e-38,1.2073799983083519e-30,1.0,0.0
HCK,0.9999999999682387,3.176147562149595e-11,0.0,0.0
NR4A2,0.9999999999941807,5.818675589808545e-12,0.0,0.0
MTMR9,0.002200981900366564,0.9977990180996317,0.0,0.0
WDFY4,0.00015277768041428637,0.9998472223195843,0.0,0.0
LEF1,0.3664031913113591,0.6335968086886415,0.0,0.0
TCEA2,0.9620538036008471,0.037946196399154475,0.0,0.0
HHEX,0.9914348798511029,0.008565120148897624,0.0,0.0
TAP1,0.00030138399556381185,0.9996986160044359,0.0,0.0
PLAGL1,0.002493381680585796,0.9975066183194131,0.0,0.0
NCKAP1L,0.000507702532526186,0.9994922974674736,0.0,0.0
CD6,0.00017334188544915896,0.9998266581145524,0.0,0.0
MT1F,3.720234897677825e-37,7.927455321295785e-48,1.0,0.0
KLK1,0.9999836718152593,1.6328184742088936e-05,0.0,0.0
TNFRSF13B,0.0004983661696193186,0.9995016338303823,0.0,0.0
GRAP2,3.113636386075915e-05,0.9999688636361379,0.0,0.0
RUNX3,0.9999980385691438,1.961430857458091e-06,0.0,0.0
IGLL5,0.002042691880127896,0.9979573081198732,0.0,0.0
PRKAG2,0.0008596769221931945,0.999140323077808,0.0,0.0
CEACAM21,0.0008843548041655346,0.9991156451958335,0.0,0.0
IKZF1,0.05034732703247239,0.9496526729675285,0.0,0.0
CBX4,1.0418106189553534e-10,0.9999999998958202,0.0,0.0
ANP32B,1.713344508608153e-05,0.9999828665549148,0.0,0.0
MFNG,0.9999999976021954,2.3978042249714923e-09,0.0,0.0
HEY2,0.998996600424845,0.0010033995751562949,0.0,0.0
HLA-C,0.0002604756844370824,0.9997395243155643,0.0,0.0
EGR3,0.0113823412208776,0.9886176587791224,0.0,0.0
HOTAIRM1,3.676066544010849e-162,0.0,0.0,1.0
BHLHE41,0.10660046297603576,0.8933995370239626,0.0,0.0
NFIC,7.062367411305282e-06,0.9999929376325895,0.0,0.0
GMDS,0.0011757124409022086,0.9988242875590985,0.0,0.0
ZNHIT3,0.00020910448767234144,0.9997908955123285,0.0,0.0
HES4,5.057389171799474e-05,0.9999494261082803,0.0,0.0
AUTS2,2.244564669013468e-05,0.9999775543533097,0.0,0.0
C9orf142,0.00039931218313589233,0.9996006878168625,0.0,0.0
RORA,0.02009278997242585,0.9799072100275743,0.0,0.0
DLGAP4,0.0012867460776616344,0.9987132539223372,0.0,0.0
RAB11FIP4,0.002296594884702316,0.9977034051152971,0.0,0.0
CXCL16,0.012158173615377868,0.9878418263846218,0.0,0.0
SLCO4A1,0.14467353182331447,0.855326468176684,0.0,0.0
SIDT1,0.0006993266569845836,0.9993006733430139,0.0,0.0
MT1X,1.76372601949116e-42,3.213919545321221e-43,1.0,0.0
TNFRSF13C,0.0005111411935778568,0.9994888588064207,0.0,0.0
LMNA,0.0005315683948976539,0.9994684316051019,0.0,0.0
RSRC1,0.9999999175995774,8.240042334310743e-08,0.0,0.0
CLYBL,0.0007639043522888552,0.9992360956477117,0.0,0.0
RPS4X,9.003075366664174e-05,0.999909969246333,0.0,0.0
CELF2,0.09848364493035437,0.9015163550696454,0.0,0.0
ZEB2,0.999999992646373,7.353626480141589e-09,0.0,0.0
STK3,0.0010388178360492522,0.9989611821639507,0.0,0.0
ST14,0.001790292991995277,0.9982097070080053,0.0,0.0
PRKCZ,4.4924840037655605e-06,0.999995507515999,0.0,0.0
TYMP,0.021327498548160923,0.9786725014518406,0.0,0.0
CCND2,0.001151030226904875,0.9988489697730957,0.0,0.0
AGAP2,0.9999662523062636,3.374769373637554e-05,0.0,0.0
RPL38,0.0038338050691633955,0.9961661949308349,0.0,0.0
APOBEC3A,0.0004205688304396345,0.9995794311695616,0.0,0.0
NFATC1,0.00042786239799832927,0.9995721376020016,0.0,0.0
ITGB2,0.059737955179872286,0.9402620448201274,0.0,0.0
DLL3,0.9999232833408599,7.671665914055682e-05,0.0,0.0
TAGAP,0.0004582143684018168,0.9995417856315963,0.0,0.0
SKAP2,0.07675462072308674,0.9232453792769137,0.0,0.0
