,0,TF
34277|SOX2,6.598342955602102e-14,SOX2
178|RXRG,7.6400315258788e-14,RXRG
33122|ATF4,9.715391123039742e-14,ATF4
46394|USF2,1.160772128129596e-13,USF2
32920|RPA,1.166136144344351e-13,RPA
44777|CREBBP,2.0243592429826093e-13,CREBBP
39940|PR,8.982826001537472e-13,PR
44266|MITF,1.3237067799638266e-12,MITF
58101|SUMO2,3.450947839760214e-12,SUMO2
34039|NANOG,3.535778530370185e-12,NANOG
44787|ATF2,4.464061856553445e-12,ATF2
52523|TFAP2C,7.871841470875852e-12,TFAP2C
43598|SMARCA5,9.83278250507765e-12,SMARCA5
59294|CEBPG,1.463417031327874e-11,CEBPG
58851|MTA2,1.6238021299413718e-11,MTA2
48539|ZBTB17,1.6392444400145522e-11,ZBTB17
35103|EGR2,3.354821712390267e-11,EGR2
53132|ZFP57,3.426246077471167e-11,ZFP57
41195|AURKB,5.1595424409956925e-11,AURKB
59046|E2F1,5.679454596452686e-11,E2F1
33708|STAG2,5.7884664609899474e-11,STAG2
2859|MED12,7.07833697642659e-11,MED12
59428|HEY1,7.795529520177392e-11,HEY1
50213|GTF2B,8.342202377255594e-11,GTF2B
46411|MAZ,8.82529243516966e-11,MAZ
48954|REPIN1,9.340867858579746e-11,REPIN1
55962|STAG1,9.616945110370267e-11,STAG1
34360|ETV6,1.0750907159729412e-10,ETV6
33461|TCF7,1.2732853725483694e-10,TCF7
98|SMAD3,3.038867530666854e-10,SMAD3
44267|FOS,3.840715045321741e-10,FOS
5221|LYL1,4.149071775849133e-10,LYL1
37952|NEUROD2,4.761191317970273e-10,NEUROD2
57300|Input,5.158947020657002e-10,Input
44788|ATF7,7.359383200742271e-10,ATF7
36909|ERF,7.38331959277603e-10,ERF
35601|5HMC,8.092555696938023e-10,5HMC
33627|H2AFX,9.354414115194833e-10,H2AFX
37915|ETS2,1.062617994782852e-09,ETS2
35161|NIPBL,1.232920753892404e-09,NIPBL
50688|CREB1,1.2508500000139749e-09,CREB1
34971|MYOG,1.530908042141075e-09,MYOG
8758|CBFB,2.1108318189680786e-09,CBFB
39122|MZF1,2.128782781151439e-09,MZF1
57231|EZH2,2.5691499799398738e-09,EZH2
47025|NFE2,2.7983124491655786e-09,NFE2
34358|PAX6,3.2249432895243904e-09,PAX6
53113|TCF12,3.838592788374334e-09,TCF12
39607|RELB,3.929322906706588e-09,RELB
46502|ZMIZ1,4.5173155894674254e-09,ZMIZ1
44362|ING1,6.499590541029511e-09,ING1
55092|HRAS,6.994213963245e-09,HRAS
53170|DPPA2,8.300391446232837e-09,DPPA2
4600|SUPT5H,9.41477729768197e-09,SUPT5H
38456|FOXP3,9.546874527508048e-09,FOXP3
38472|HSF1,1.713112921376549e-08,HSF1
55947|HNF1B,2.0074501401563672e-08,HNF1B
8649|AICDA,2.285812029327666e-08,AICDA
40095|JMJD6,4.114892961121699e-08,JMJD6
52937|POU5F1,4.511079679410749e-08,POU5F1
4486|POLR3A,4.86327754837959e-08,POLR3A
3000|ASH2L,5.258750136376953e-08,ASH2L
8863|TP53,5.4590737473179294e-08,TP53
9940|AHR,5.5891570772445605e-08,AHR
34027|KDM2B,6.837400990551542e-08,KDM2B
57017|STAT5,1.224601251943756e-07,STAT5
50030|NFATC1,1.7972376179271207e-07,NFATC1
43425|ASCL2,2.432098673569573e-07,ASCL2
5909|EZH1,2.4321982790960437e-07,EZH1
48944|SUZ12,2.724217736816763e-07,SUZ12
4498|PRDM14,3.08432653207655e-07,PRDM14
56296|BRD3,3.185662343464537e-07,BRD3
1533|TBX5,3.4245955948070263e-07,TBX5
1592|GFI1B,3.9550645757672555e-07,GFI1B
9267|ZFPM1,4.927246808428662e-07,ZFPM1
50164|CHRM2,5.871485013306059e-07,CHRM2
52674|C17orf96,1.425635360558181e-06,C17orf96
56412|POU2F1,1.4390355301075724e-06,POU2F1
52907|MEF2A,1.5986043927743205e-06,MEF2A
32987|TAF7L,2.0542832306564373e-06,TAF7L
58144|SIX4,2.1762673259890564e-06,SIX4
46493|CHD1,2.6983870002649554e-06,CHD1
57226|MEN1,3.632803876759024e-06,MEN1
2747|RBPJ,4.923851293287585e-06,RBPJ
33656|RAD51,6.195541481668692e-06,RAD51
52944|MBD3,7.369366609268508e-06,MBD3
40272|FOXA2,8.589518413629055e-06,FOXA2
44219|SMARCC2,1.0809809457943044e-05,SMARCC2
47570|PPARGC1A,1.1959420079163612e-05,PPARGC1A
53413|PPARA,1.2039637460655885e-05,PPARA
44158|MKL2,1.2442890812257769e-05,MKL2
46408|ZKSCAN1,1.317275843632568e-05,ZKSCAN1
54226|GATA6,1.4292792625085724e-05,GATA6
47698|GATA4,1.4432341864726134e-05,GATA4
91|TET1,1.4486286557342015e-05,TET1
44411|POLR2B,1.4637736563627492e-05,POLR2B
38112|MEF2D,1.662989248538102e-05,MEF2D
54303|H3F3B,1.8068879244560463e-05,H3F3B
35244|MBD1,1.9028749219742204e-05,MBD1
53403|FOXL2,2.082429829841681e-05,FOXL2
50584|IRF7,2.164560610708897e-05,IRF7
52800|NR4A1,2.827529536134943e-05,NR4A1
46407|UBTF,3.2664936517532406e-05,UBTF
53115|SMAD2/3,4.016593176137654e-05,SMAD2/3
43659|UTF1,5.115593510303177e-05,UTF1
33727|FOXA1,5.6097901805471066e-05,FOXA1
33120|DDIT3,6.874648258746845e-05,DDIT3
49207|CDK9,7.399504597313101e-05,CDK9
4404|JARID2,7.709974561775985e-05,JARID2
6013|NFYA,8.269153238704105e-05,NFYA
56133|RBFOX2,9.177813517753335e-05,RBFOX2
2984|AFF4,9.399116183025884e-05,AFF4
35691|KMT2C,0.00010124348218914349,KMT2C
48516|OTX2,0.0001175172632703326,OTX2
40090|HIF1A,0.00011761592497243967,HIF1A
58099|SUMO1,0.00013276120735746894,SUMO1
46496|NFE2L2,0.00014444434151813856,NFE2L2
8270|HDAC1,0.00016031707199813693,HDAC1
35820|SUPT6H,0.00016272674028689342,SUPT6H
8343|SOX3,0.00019507100451795662,SOX3
5809|HELLS,0.00021285179331291055,HELLS
55539|RAG1,0.0002302173676965121,RAG1
46494|KAT2B,0.0002935291060135816,KAT2B
4398|MECP2,0.0003210723925738237,MECP2
33797|SOX17,0.00032154583621263257,SOX17
44872|CDX2,0.0003345381630411602,CDX2
53949|YY1,0.00033723734910167703,YY1
36668|FOXO1,0.000372400603455219,FOXO1
57295|TEC,0.00041034826653190933,TEC
33695|FAIRE,0.0004130201052332882,FAIRE
44534|PHC1,0.0004159846683901044,PHC1
48620|NFYC,0.00051835709505797,NFYC
58990|MEF2C,0.0005414259863996087,MEF2C
8831|PHF19,0.0005607098875976918,PHF19
59458|AFF3,0.000611572295345247,AFF3
41842|ASCL1,0.0006758774769460511,ASCL1
4396|LDB1,0.0007326398818141925,LDB1
39620|EGR1,0.0007329149721300987,EGR1
41638|POLR3GL,0.0007383729141485187,POLR3GL
43693|KDM4C,0.0008580723869203763,KDM4C
44403|POLR3D,0.000871164138449668,POLR3D
4636|WDR5,0.0012379521765078024,WDR5
59362|CSTF3,0.0012606024581004235,CSTF3
8907|TBX3,0.0013515324317877203,TBX3
39605|REL,0.0013561228621951766,REL
52224|SMAD4,0.0013564572064650178,SMAD4
