,0,TF
MC00136|Hoxb4,0.7078199426913191,Hoxb4
MS00414|BARHL2,0.7088840066357044,BARHL2
MA0152|NFATC2,0.7135287378864037,NFATC2
MS00432|DLX6,0.7230315984880685,DLX6
MA0365|RFX1,0.7252497629670414,RFX1
MS00276|OLIG1,0.7337984549355148,OLIG1
MS00603|PRRX2,0.7349311452184608,PRRX2
MC00178|Nkx2-5,0.7368620796435814,Nkx2-5
UP00119|Nkx2-9,0.7401517202394318,Nkx2-9
UP00117|Hoxd11,0.7408731754034514,Hoxd11
MS00083|MEIS2,0.7467243162829517,MEIS2
M01466|Obox3,0.7469137478671319,Obox3
MS00595|PITX1,0.7534542181344956,PITX1
MS00541|LHX9,0.7548928232353163,LHX9
MC00326|Gata3,0.7610379861318459,Gata3
M00062|IRF1,0.7624227523208709,IRF1
UP00114|Homez,0.7629128662650093,Homez
MS00497|HOXC11,0.7671513240289338,HOXC11
MS00315|DBP,0.7748939801850385,DBP
MS00527|IRX5,0.7791155201602602,IRX5
MS00586|Otx1,0.7802815731569308,Otx1
MS00774|SOX8,0.7846646646538433,SOX8
MS00519|Hoxd13,0.7855645772675905,Hoxd13
MS00356|FOXD2,0.7889985473464649,FOXD2
MS00421|Barhl1,0.789947481388829,Barhl1
MS00748|SOX14,0.7905316081990548,SOX14
MA0031|FOXD1,0.7942815113015125,FOXD1
MS00412|ZNF410,0.7962697782641767,ZNF410
MS00452|ESX1,0.8015421366373974,ESX1
UP00238|Nkx6-3,0.8020837156542666,Nkx6-3
M01149|Dmrta1,0.8029380510229827,Dmrta1
MS00430|DLX4,0.803029274738685,DLX4
MS00467|Gbx1,0.8065548924140696,Gbx1
MS00460|GBX2,0.806620025411616,GBX2
MS00359|FOXD3,0.809063972086793,FOXD3
MS00717|Tp53,0.8100989415355796,Tp53
MS00836|HOXD12,0.8139932515052037,HOXD12
MS00418|BARX1,0.8226249345458736,BARX1
MS00589|PDX1,0.8250057373660353,PDX1
MS00362|FOXI1,0.8266348230358384,FOXI1
MS00106|NFAT5,0.8295684168092949,NFAT5
MS00429|DLX3,0.8313012883508565,DLX3
MS00142|POU3F3,0.8319786427351464,POU3F3
MC00231|MEF2C,0.8332738151581247,MEF2C
MC00287|POU2F2,0.8364920142912269,POU2F2
MA0108|TBP,0.8397311091851533,TBP
MS00559|MSX1,0.8416941153767873,MSX1
UP00175|Lhx9,0.8431328559906116,Lhx9
UP00030|Sox11,0.8477811457572488,Sox11
UP00211|Pou3f3,0.8477991392188363,Pou3f3
UP00125|PITX2,0.8485612951895424,PITX2
UP00138|Bsx,0.8492928333803578,Bsx
MS00800|Sox1,0.8496754362865191,Sox1
M01722|RORB,0.8518502433711697,RORB
MS00059|HSF2,0.8542341054122059,HSF2
MS00439|Dlx1,0.8569278771633373,Dlx1
MS00317|HLF,0.8627148028275085,HLF
UP00182|HOXA6,0.8641962417836199,HOXA6
MS00563|Meox2,0.8673506218971072,Meox2
MS00474|HMX2,0.87023501407078,HMX2
UP00120|Lbx2,0.8707106443646571,Lbx2
MS00431|DLX5,0.8724884042295309,DLX5
MA0125|Nobox,0.8737044400789419,Nobox
MS00367|FOXJ3,0.8772811624281446,FOXJ3
UP00147|Nkx2-6,0.8799653131841367,Nkx2-6
MS00578|NOTO,0.884375389348093,NOTO
MS00582|OTX1,0.8847623794075379,OTX1
UP00262|Lhx1,0.8853294902379358,Lhx1
MS00605|RAXL1,0.8862329654676054,RAXL1
MS00440|Dlx2,0.8865984081151967,Dlx2
UP00034|Sox7,0.8884387621896376,Sox7
M01150|Dmrta2,0.8891290961057416,Dmrta2
M01650|NR2E3,0.8916326980369362,NR2E3
MS00269|MYF6,0.8934148456237605,MYF6
MS00249|BHLHE22,0.894299252837017,BHLHE22
MS00503|HOXC12,0.896086342995905,HOXC12
MC00402|Hoxc9,0.8980576058687134,Hoxc9
M01480|Obox5,0.8980979211661549,Obox5
MS00653|NR2E1,0.9001623557272787,NR2E1
MS00140|POU3F2,0.9006727553406596,POU3F2
UP00189|HOXA5,0.9029145166983279,HOXA5
MC00388|Tal1,0.9039725036067234,Tal1
MS00614|SHOX,0.9146611003766528,SHOX
MS00769|SOX7,0.9168105058627447,SOX7
MS00488|HOXB13,0.9178950903080697,HOXB13
MS00615|Shox2,0.9185533938171423,Shox2
MS00619|Uncx,0.9198294396445856,Uncx
MS00803|Sox3,0.9203150279777369,Sox3
MS00473|HMX1,0.9218678631308539,HMX1
MS00624|VENTX,0.923279975102831,VENTX
MS00599|PRRX1,0.9237563232317878,PRRX1
UP00155|Hmx2,0.9256532758270556,Hmx2
MS00469|Gbx2,0.9263500454470316,Gbx2
M01364|Obox2,0.9271469825049657,Obox2
MS00540|LHX6,0.9275816175142129,LHX6
M01148|DMRT3,0.9279224444791034,DMRT3
UP00241|HOXD3,0.9299387858557226,HOXD3
MS00318|Hlf,0.9323802974084029,Hlf
M01450|Obox1,0.9348995041442181,Obox1
UP00215|Vax1,0.9351708413815254,Vax1
MS00621|VAX2,0.9372410102108168,VAX2
UP00105|POU3F4,0.9375691350112604,POU3F4
MS00606|RAX,0.9380950960877947,RAX
MS00627|VSX2,0.9383088361324966,VSX2
MS00506|HOXD11,0.9388940135243763,HOXD11
MS00493|HOXB5,0.9394040244614399,HOXB5
UP00185|PBX1,0.9402408096141559,PBX1
MC00288|POU2F1,0.9412743373221705,POU2F1
MS00316|Dbp,0.9416317597294708,Dbp
MS00443|EMX2,0.9419016275287274,EMX2
MS00470|HESX1,0.9431921246228704,HESX1
MS00446|EN1,0.9435157030115502,EN1
UP00121|Hoxd10,0.9447384554305748,Hoxd10
MS00372|FOXL1,0.9449146227486711,FOXL1
MS00750|SOX15,0.9454869695628545,SOX15
M01326|GSX2,0.9461828989026398,GSX2
M01479|POU6F1,0.9474329427724215,POU6F1
MS00280|OLIG3,0.9475307544033589,OLIG3
MS00759|SOX21,0.9487916092546185,SOX21
MS00501|Zfp652,0.9489575758839035,Zfp652
M00640|HOXA4,0.9493359907621504,HOXA4
MS00531|ISX,0.9495010459537581,ISX
MS00337|NFIL3,0.9497392830753669,NFIL3
MS00517|Hoxc10,0.9507328978423795,Hoxc10
MC00501|FOXP1,0.9509551523996528,FOXP1
MS00425|CDX1,0.9525107072681206,CDX1
M00992|FOXP3,0.9528240767319933,FOXP3
MS00458|En2,0.9542195363664958,En2
UP00260|Hoxc6,0.95628220153748,Hoxc6
MC00303|Sox2,0.9565505320310459,Sox2
MS00613|SHOX2,0.9593014495876238,SHOX2
MS00604|Prrx2,0.9594858155791768,Prrx2
MC00389|CDX2,0.9600320278135068,CDX2
MC00117|GATA6,0.9619000587785317,GATA6
MC00232|MEF2A,0.9623245710468625,MEF2A
M01399|Hlx,0.9624593760022088,Hlx
MS00272|NEUROG2,0.9634695798301485,NEUROG2
MS00148|POU4F1,0.9640790465401848,POU4F1
MS00585|OTX2,0.9644876905040749,OTX2
MS00245|BHLHA15,0.9654835291992161,BHLHA15
MC00311|FOXA1,0.9660935957898478,FOXA1
UP00391|HOXA3,0.9666251046796348,HOXA3
UP00213|HOXA9,0.9673793650578478,HOXA9
MC00104|Foxa1,0.968057564774378,Foxa1
MS00033|SPDEF,0.9682119995587212,SPDEF
MS00428|DLX2,0.9682735915669501,DLX2
UP00237|Otp,0.9687251353531176,Otp
UP00004|Sox14,0.9692172078763301,Sox14
M00478|CDC5L,0.9706676901344982,CDC5L
MS00352|FOXC2,0.9711337527683537,FOXC2
MC00378|POU5F1,0.9719667829053146,POU5F1
MS00250|BHLHE23,0.9722408965174081,BHLHE23
MS00055|HOMEZ,0.9732388735291246,HOMEZ
MS00454|EVX1,0.9733676070952753,EVX1
MS00515|Hoxa11,0.9734853601081191,Hoxa11
MC00416|Rbfox2,0.974220839607243,Rbfox2
UP00187|ALX4,0.9743782846705616,ALX4
UP00113|HOXC4,0.9744226592590756,HOXC4
MS00581|Nkx6-1,0.9753362677780861,Nkx6-1
MS00129|POU1F1,0.9765649773032303,POU1F1
UP00152|Arx,0.977177120335262,Arx
UP00071|Sox21,0.9773818931282875,Sox21
UP00170|Isl2,0.9781002884812364,Isl2
UP00207|HOXB9,0.9790241644241995,HOXB9
MS00224|TEAD4,0.979440806548135,TEAD4
UP00137|Hoxb3,0.9795540895505688,Hoxb3
MA0030|FOXF2,0.9800411174079964,FOXF2
MS00617|UNCX,0.9803403499944753,UNCX
MS00504|HOXC13,0.9806688136546262,HOXC13
MS00484|HOXA13,0.9810461677269025,HOXA13
MS00277|OLIG2,0.981060446273246,OLIG2
MS00402|ALX3,0.9814316150800919,ALX3
MS00762|SOX2,0.9814364971840133,SOX2
UP00139|Nkx1-2,0.982072567095312,Nkx1-2
MS00496|HOXC10,0.9823680149737016,HOXC10
M01075|ZBTB16,0.9841002405205471,ZBTB16
MS00620|VAX1,0.984116913395205,VAX1
MC00276|EOMES,0.9845827465093955,EOMES
M01127|ISL1,0.9847044271171768,ISL1
MS00487|HOXA2,0.9850407941590288,HOXA2
MS00465|GSX1,0.9851063702818009,GSX1
MS00788|SRY,0.9858586124683726,SRY
MS00076|MEF2D,0.9862071270801774,MEF2D
MS00575|NKX6-1,0.9867803177339503,NKX6-1
MS00555|MIXL1,0.986782428226555,MIXL1
MS00510|HOXD13,0.9870972042409318,HOXD13
UP00169|LMX1B,0.9874917049115658,LMX1B
MS00075|MEF2B,0.9874935585389555,MEF2B
UP00242|HOXC8,0.9876782517082403,HOXC8
UP00248|Pax7,0.9882537817881935,Pax7
MS00151|POU4F3,0.9885623276716187,POU4F3
MS00543|LMX1A,0.9888446770360356,LMX1A
UP00129|Pou3f1,0.9890565606911994,Pou3f1
MS00521|Hoxd3,0.9892686154769434,Hoxd3
M01453|ALX1,0.9895684512879614,ALX1
UP00197|HOXC9,0.9896648796049682,HOXC9
UP00259|HOXB6,0.9902080160554607,HOXB6
UP00051|Sox8,0.9906303278262092,Sox8
MS00536|LHX2,0.9907595047041662,LHX2
MS00516|Hoxa2,0.9910275427235099,Hoxa2
UP00130|LHX3,0.9914473868885469,LHX3
MC00146|Smad2/3,0.9919897853284962,Smad2/3
UP00041|Foxj1,0.9925085672404464,Foxj1
M00294|Foxf1a,0.9926557586486772,Foxf1a
MS00480|HOXA10,0.9928094328995289,HOXA10
MS00011|BCL6B,0.9930647375216917,BCL6B
MS00437|DRGX,0.9933467425769054,DRGX
UP00064|Sox18,0.9936725846599191,Sox18
M01445|Obox6,0.9937224083827177,Obox6
MS00513|HOXD8,0.993798706215342,HOXD8
UP00075|Sox15,0.9939198509992099,Sox15
MC00507|Meis1,0.9940601614602692,Meis1
MS00794|Sox10,0.9943518777815873,Sox10
MS00492|HOXB3,0.9945048421191893,HOXB3
MC00474|BCL11A,0.9946331172501034,BCL11A
MS00442|EMX1,0.9946351717283558,EMX1
MS00455|EVX2,0.9947108931833796,EVX2
MC00309|TCF7L2,0.9948239829725127,TCF7L2
MS00406|Alx1,0.9951969190677249,Alx1
MS00152|POU5F1P1,0.9952961570144087,POU5F1P1
MC00217|FOXA2,0.995321500304174,FOXA2
UP00244|TLX2,0.9953424594115511,TLX2
M01146|DMRT1,0.9953706235810651,DMRT1
UP00140|Hoxd1,0.9955139164128265,Hoxd1
UP00161|Hmbox1,0.9957515033894987,Hmbox1
MC00105|Foxa2,0.9964009620754117,Foxa2
UP00037|Zfp105,0.9966950189132827,Zfp105
M01435|Rhox6,0.9967657482554473,Rhox6
MC00455|Cdx2,0.9970131093083188,Cdx2
UP00078|ARID3A,0.9974494712999108,ARID3A
MS00149|POU4F2,0.9974929332040035,POU4F2
UP00221|PHOX2A,0.997556256528604,PHOX2A
UP00082|Zfp187,0.9976932647151455,Zfp187
UP00263|Hoxb8,0.9977942665143071,Hoxb8
MC00226|Nanog,0.9980443267288631,Nanog
UP00194|IRX4,0.9981678670060284,IRX4
MS00450|EN2,0.9982158473007429,EN2
UP00252|HOXC5,0.9983013259298623,HOXC5
M01147|DMRT2,0.9983920372122089,DMRT2
UP00151|BARX2,0.9986233160477385,BARX2
MS00593|PHOX2B,0.9986600788557173,PHOX2B
MS00351|FOXC1,0.9988368159566638,FOXC1
MS00427|DLX1,0.9988552894517008,DLX1
UP00212|LHX5,0.9988742623929452,LHX5
MS00424|CART1,0.9989319773045863,CART1
MS00491|HOXB2,0.9990431713531241,HOXB2
MS00486|HOXA1,0.9990467686899966,HOXA1
MS00054|Tcf7,0.9990684102111631,Tcf7
MS00532|Irx3,0.9991053056661893,Irx3
UP00218|Dbx2,0.9991100266049652,Dbx2
MS00405|ARX,0.9991376184630373,ARX
MS00551|MEOX1,0.9991651221119108,MEOX1
MS00136|POU2F3,0.9992365351209945,POU2F3
MS00472|HMBOX1,0.9992851470934871,HMBOX1
MS00547|Lhx4,0.9993000685743868,Lhx4
M01230|ZNF333,0.9993147370846508,ZNF333
UP00101|Sox12,0.9993491654435611,Sox12
UP00012|Bbx,0.9993719056649143,Bbx
MS00577|NKX6-2,0.9994195351651317,NKX6-2
MS00126|PAX7,0.9994223355399146,PAX7
UP00166|BARHL1,0.9995024363978061,BARHL1
MS00732|CPEB1,0.999507785346071,CPEB1
MS00408|Alx4,0.9996186963899517,Alx4
MS00797|Sox17,0.9996191459254661,Sox17
M01004|IKZF2,0.9996342817300231,IKZF2
MS00053|TCF7L1,0.9997151977318519,TCF7L1
MS00155|POU6F2,0.9997759376282178,POU6F2
MS00476|HNF1A,0.9998129998134738,HNF1A
MS00634|CUX2,0.9998222109335639,CUX2
MS00557|MNX1,0.9998563653794165,MNX1
MS00438|DUXA,0.9998891223833287,DUXA
MS00051|LEF1,0.9999122325536314,LEF1
MS00667|ONECUT1,0.9999369598386209,ONECUT1
MS00366|FOXJ2,0.9999388078896051,FOXJ2
UP00168|Hoxd8,0.999948507119401,Hoxd8
M01483|Dbx1,0.9999490677534664,Dbx1
MS00564|Msx3,0.9999509992232299,Msx3
UP00206|Hoxb7,0.999961188195735,Hoxb7
MC00165|Pdx1,0.9999633753898273,Pdx1
MS00690|ONECUT3,0.9999653362258328,ONECUT3
MS00753|SOX18,0.9999726326463562,SOX18
MC00233|Pou5f1,0.9999775634101701,Pou5f1
MS00561|MSX2,0.9999785372132317,MSX2
UP00150|IRX6,0.9999801662589487,IRX6
UP00091|SOX5,0.999980532401271,SOX5
MS00388|Foxc1,0.999984820032531,Foxc1
MA0040|Foxq1,0.9999870251961048,Foxq1
MS00597|PROP1,0.9999890802926708,PROP1
MS00679|ONECUT2,0.9999920565655577,ONECUT2
M01723|SATB1,0.9999944909917501,SATB1
MC00260|Pax3,0.9999945350090317,Pax3
UP00096|SOX13,0.9999998746156665,SOX13
