,0,TF
UP00088|PLAGL1,1.5591071598351524e-09,PLAGL1
UP00418|Etv6,1.7277937491004726e-09,Etv6
M00490|BACH2,1.7800323092131042e-09,BACH2
M01288|NEUROD1,1.7880699834951052e-09,NEUROD1
M00792|SMAD1,2.005306732837357e-09,SMAD1
MC00502|HMGN1,2.361875262267448e-09,HMGN1
MS00727|ZBTB49,2.665035294594197e-09,ZBTB49
MS00024|GLIS1,2.7693191761068407e-09,GLIS1
MS00376|FOXO1,2.912456283560197e-09,FOXO1
M00518|PPARG::RXRA,2.993553296912318e-09,PPARG::RXRA
MS00843|GLI2,3.462158359379687e-09,GLI2
M00491|PATZ1,3.5104056369744985e-09,PATZ1
M01177|SREBF2,4.427159335081629e-09,SREBF2
M00468|KLF12,4.4426848912896675e-09,KLF12
MS00022|Elf5,4.823779283611592e-09,Elf5
MC00372|Yy1,5.308756482732355e-09,Yy1
M00514|ATF4,5.376727092126508e-09,ATF4
MS00851|ETS1,6.369254341747001e-09,ETS1
MC00125|Rest,6.39667079679524e-09,Rest
UP00031|Zbtb3,6.797754861416363e-09,Zbtb3
MC00174|REST,7.083573900835242e-09,REST
UP00001|E2F2,9.794606544645596e-09,E2F2
UP00038|Spdef,1.1124259394669828e-08,Spdef
MS00383|FOXO4,1.128543551151288e-08,FOXO4
MA0067|PAX2,1.2393587942529441e-08,PAX2
MC00477|ZNF711,1.3318249192278015e-08,ZNF711
UP00024|Glis2,1.3992998162334358e-08,Glis2
MC00134|Ppara,1.421302816252191e-08,Ppara
M00717|PAX8,1.424011865630672e-08,PAX8
MA0116|Zfp423,1.5928323350277954e-08,Zfp423
UP00066|HNF4A,1.784360336339821e-08,HNF4A
M01122|ZNF219,2.0218774489588377e-08,ZNF219
M00648|MAF,2.1583669514136006e-08,MAF
UP00065|Zfp161,2.3914448450641654e-08,Zfp161
MA0131|HINFP,2.448136059835529e-08,HINFP
MS00534|CENPB,2.6649414594662547e-08,CENPB
MC00262|ARNT,2.688783293867173e-08,ARNT
MC00407|Myc,2.705705015852953e-08,Myc
M01104|Ovol2,2.7558264962824484e-08,Ovol2
MS00018|ETV4,2.9338450379746594e-08,ETV4
MS00207|TBX21,3.610228503047265e-08,TBX21
MC00356|Tbx21,3.684674411610738e-08,Tbx21
MS00267|MNT,3.7536123555121626e-08,MNT
MC00335|ESR1,4.0148274367039696e-08,ESR1
MC00412|VDR,4.1715898664033274e-08,VDR
UP00423|Gm5454,4.324153156980138e-08,Gm5454
UP00413|Elf4,4.4094363751303756e-08,Elf4
MS00380|FOXO3,4.5176864883152786e-08,FOXO3
MS00115|NFIX,4.687217527003708e-08,NFIX
MS00065|IRF4,4.6978376156810574e-08,IRF4
MS00844|ELK3,4.8277471860551405e-08,ELK3
M01742|Zscan10,4.896368321850995e-08,Zscan10
MA0145|Tcfcp2l1,5.20725926428582e-08,Tcfcp2l1
MS00274|NHLH1,5.2894503307093994e-08,NHLH1
UP00003|E2F3,5.384825665769117e-08,E2F3
UP00084|Gmeb1,5.476858006439025e-08,Gmeb1
MS00808|TFEC,7.096252135748022e-08,TFEC
M00332|FOXN1,7.13690947596406e-08,FOXN1
MS00323|ZBTB7C,7.367628466357584e-08,ZBTB7C
MS00050|GCM2,7.530579600444105e-08,GCM2
MS00101|Hic1,8.434182104620603e-08,Hic1
UP00412|Etv5,9.497735775806686e-08,Etv5
UP00094|Zfp128,1.104150422725608e-07,Zfp128
MS00041|Spic,1.144217588331825e-07,Spic
MC00518|Tfcp2,1.1872516385723646e-07,Tfcp2
MC00130|Pparg,1.3168414391836455e-07,Pparg
MS00110|NFKB1,1.3210230416008882e-07,NFKB1
MC00295|Esr1,1.367185087056876e-07,Esr1
MS00117|PAX1,1.551888576213897e-07,PAX1
MS00146|KLF16,1.8467953770084194e-07,KLF16
MS00057|HIC2,1.943773296183339e-07,HIC2
MS00025|FEV,2.148182494401789e-07,FEV
MC00312|RUNX1,2.3227632197580772e-07,RUNX1
M01109|ZNF589,2.400146121220593e-07,ZNF589
MC00339|NFE2L2,2.477816215536144e-07,NFE2L2
MC00342|YY1,2.5757734162006607e-07,YY1
MS00308|CREB3,2.623268496748604e-07,CREB3
MC00144|Rfx1,3.2385718326161993e-07,Rfx1
M01207|ETS2,4.205397166582644e-07,ETS2
M01105|ZNF350,4.717353288066699e-07,ZNF350
MC00191|Nfya,5.544825077365083e-07,Nfya
MS00243|Ascl2,5.545382929861841e-07,Ascl2
M00467|ZNF423,6.501435805041117e-07,ZNF423
MS00778|EHF,7.998810093232979e-07,EHF
MC00316|HIF1A,8.215469748843708e-07,HIF1A
MC00248|USF1,8.388764712071563e-07,USF1
UP00021|Zfp281,8.536246973126732e-07,Zfp281
MS00445|ZNF740,8.765682143485523e-07,ZNF740
M01037|GLI1,8.825624874507262e-07,GLI1
MC00439|TP63,1.6397303173875742e-06,TP63
M00500|STAT6,2.1445345854614317e-06,STAT6
MS00319|JDP2,2.47723455395112e-06,JDP2
MS00124|KLF13,2.534220903397067e-06,KLF13
MA0101|REL,2.5756158345658697e-06,REL
MS00289|TFEB,2.717533724444043e-06,TFEB
MS00324|Jdp2,3.015714360219018e-06,Jdp2
M00072|TFCP2,3.449478305429661e-06,TFCP2
MS00423|ZNF524,3.802377833906716e-06,ZNF524
MS00217|TBX5,4.159560779121631e-06,TBX5
MC00169|Usf2,4.226361473504865e-06,Usf2
MS00188|MGA,4.39382401686091e-06,MGA
MC00362|Arntl,4.7187001264731256e-06,Arntl
MC00364|NFYA,5.241028148663791e-06,NFYA
MS00336|NFE2,5.356798749651281e-06,NFE2
MS00128|PAX9,6.398371486487388e-06,PAX9
MS00386|FOXO6,6.543273560767467e-06,FOXO6
MS00100|MYBL1,6.964602480133471e-06,MYBL1
MS00285|TCF4,7.154183338736154e-06,TCF4
MS00177|RUNX3,8.482958403677705e-06,RUNX3
MC00413|Runx1,8.792108423825033e-06,Runx1
UP00011|IRF6,9.235883435975702e-06,IRF6
MS00072|IRF8,9.266304108381783e-06,IRF8
MC00129|Fli1,9.521755946810282e-06,Fli1
MS00304|CREB3L1,9.786630534200448e-06,CREB3L1
UP00035|HIC1,1.024964792077536e-05,HIC1
UP00009|Nr2f2,1.0874366909695976e-05,Nr2f2
M00495|BACH1,1.1120490148762786e-05,BACH1
MS00694|RXRG,1.1278322192231876e-05,RXRG
MC00377|Trp53,1.1805113300434894e-05,Trp53
MC00192|ZNF263,1.310388244734326e-05,ZNF263
MS00265|MLXIPL,1.3438560185822941e-05,MLXIPL
M00179|ATF2,1.452824841184746e-05,ATF2
MS00016|ETV2,1.4725940604477909e-05,ETV2
MS00333|Mafb,1.6858794852399774e-05,Mafb
MS00713|THRB,1.9550389847215213e-05,THRB
M01656|Trp63,2.060252230144975e-05,Trp63
MS00023|Elk3,2.086101640580703e-05,Elk3
MS00684|RARG,2.1235259678566972e-05,RARG
MS00512|Zfp740,2.2006068674988364e-05,Zfp740
