,Peak0,Peak1,Peak2,Peak3,Peak4,Peak5,Peak6,Peak7,Peak8,Peak9,Peak10,Peak11,Peak12,Peak13
SSU72,0.355465365983275,0.357179169179679,0.923880972241173,0.47363487765776,0.323485638902598,0.462684086354488,0.304595600449237,0.309406291352508,0.606608551432976,0.431820534232766,0.713360952125303,0.572775351998312,0.395726475148868,0.468817973478918
AL645728.1,0.00568899692959384,0,0,0,0,0,0,0.0280395073370816,0,0,0,0,0,0
RP11-345P4.9,0.0112732822687728,0.0104027377452122,0,0,0,0,0,0.0822969364540496,0,0.0844848277579015,0,0.0192027005319271,0,0
MIB2,0.00699231889837147,0.0786569940709877,0.025275817830642,0.0602887587442644,0.168041497682929,0.0487619300151313,0.0226803562748063,0.0555112215563765,0.101834955658603,0.173573971836633,0.0392790068866196,0.0855672211136457,0.0385477996023898,0.0116394115603375
MMP23B,0,0,0,0,0.0316141337469849,0,0,0,0,0,0,0,0,0
CDK11B,0.0327004810831912,0.0106963472034826,0.015029906519939,0,0,0.0322349191578881,0.0204960317255316,0.0546897818235199,0.0736678832115044,0,0.0541727823538512,0.0400942272258621,0.0281240081429582,0.042590716015482
SLC35E2B,0.00972649409520731,0.0293381357976389,0,0.0193010745600894,0,0,0.0183805991723372,0,0.0156582358839526,0.0876220560191759,0,0.0600195863597251,0,0
CDK11A,0.0835218985022968,0.0814304950110491,0.10001672918367,0.0224179589350697,0.199364968003586,0.0738366013758699,0.0174201668154672,0.0718157046646316,0.101307937197013,0.145785514182417,0.181192386772515,0.0982904596118604,0.040918765865817,0.0617350818771826
SLC35E2,0,0.0101080349931713,0,0,0,0,0,0,0,0.0802419783397015,0,0,0,0
NADK,0.361322820869053,0.0302052334479138,0.113025841457262,0.0633151212315202,0.085115948071754,0.171120693096098,0.0419109083047042,0.0188948573691796,0.0217346332171605,0.0613006864245152,0.0541443772089962,0.184928126790434,0,0.115276330973061
GNB1,0.30939418753461,0.0378726700834862,0.31714935108271,0.0162670660286071,0.0207660559226337,0.11886439866223,0.0629275052975646,0.160966733399596,0.0246164842494849,0.0854950168855389,0.0409262662839836,0.286969100834292,0.0384235947675116,0.334572833283209
PRKCZ,0.00105211662578826,0.0309699098727113,0.0169024794690535,0.0689882319271988,0.0319114956462319,0,0.0221741089562034,0,0,0,0.0231802807269071,0,0,0.0111111649864201
RP5-892K4.1,0.00109550437557743,0,0,0,0,0,0,0,0,0,0,0,0,0
C1orf86,0.123799703043668,0.153195504870073,0.302832225006006,0.105065136001607,0.0931919748052089,0.154843177868908,0.272095544798084,0.0539484508826956,0.166113495448571,0.0876220560191759,0.138095830978739,0.413951635815459,0.0790561085525919,0.147486797108506
AL590822.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SKI,0.0303332546095138,0.0102409150876803,0.0740911608504146,0,0.0833632061222419,0.024322293271471,0,0.0917139208614897,0,0.23929853376223,0.017829612132835,0,0,0.00819946370547957
MORN1,0.00155805992477294,0,0,0,0.0222062832204755,0.011166193957946,0,0.0226067770838513,0,0,0,0,0,0
RER1,0.647738613780052,0.448900099738466,0.785437138650512,0.261726944059836,0.598674646515576,0.623955464765574,0.417088114722921,0.16316268744591,0.383927038115114,0.231065061959082,0.513866771716656,1.12952172067457,0.628894506407035,0.734773186862368
PEX10,0.00992366347502341,0.0200891445620094,0,0,0,0.0281093249251716,0,0,0,0,0.077674875367874,0.0608091069511404,0,0.0139773706072056
